Name,Parent,Summons.psd,Spells.psd,ATK,HPS,SPD,INT,0
Aardvark,Armadillo,,,,,,,
Albatross ,Bird,,,,,,,0
Alligator ,Crocodile,,,,,,,0
Alpaca ,Llama,,,,,,,0
Anteater ,,1,2,2,3,2,3,10
Antelope ,,2,7,2,2,5,2,11
Ape ,,3,2,4,3,3,5,15
Armadillo ,,4,8,2,3,2,3,10
Ass,,15,7,2,4,1,1,8
Baboon ,Ape,,,,,,,0
Badger ,,6,1,2,4,4,3,13
Bat ,,7,6,5,2,5,2,14
Bear ,,8,5,4,4,2,3,13
Beaver ,,9,2,2,4,4,3,13
Bird,,10,6,3,1,4,4,12
Bison ,,11,3,5,4,2,2,13
Boar ,,12,3,4,4,4,3,15
Bobcat,Cat,,,,,,,
Buffalo ,Bison,,,,,,,0
Caiman,Crocodile,,,,,,,
Camel ,,13,7,2,3,3,2,10
Capybara,,14,2,2,2,3,3,
Carcajou,Otter,,,,,,,0
Caribou ,,5,7,5,4,3,2,14
Cat ,,16,1,1,1,4,4,10
Chameleon,,17,2,1,1,2,2,6
Chamois ,Goat,,,,,,,0
Cheetah ,Leopard,,,,,,,0
Chicken ,,18,6,1,2,2,1,6
Chimpanzee ,Ape,,,,,,,0
Chinchilla ,,19,1,1,1,3,3,8
Cobra ,Snake,,,,,,,0
Cormorant ,Crow,,,,,,,0
Cow,,71,3,1,6,2,2,11
Coyote ,Fox,,,,,,,0
Crab ,,20,6,4,1,2,1,8
Crane ,Bird,,,,,,,0
Crocodile ,,72,5,6,4,4,3,17
Crow ,,21,6,4,2,4,4,14
Deer ,,22,7,4,2,4,3,13
Dhole,Fox,,,,,,,
Dog ,,23,5,2,2,3,4,11
Donkey ,Horse,,,,,,,0
Dove ,Bird,,,,,,,0
Duck,,24,6,2,2,3,2,9
Eagle ,Bird,,,,,,,0
Echidna ,Hedgehog,,,,,,,0
Eland ,Antelope,,,,,,,0
Elephant ,,25,3,4,5,2,4,15
Elk,Deer,,,,,,,0
Emu ,Ostrich,,,,,,,0
Falcon ,Eagle,,,,,,,0
Ferret ,,26,1,2,2,3,3,10
Finch ,Bird,,,,,,,0
Fox ,,27,5,3,2,3,4,12
Frog ,,28,8,1,1,2,1,5
Gaur ,Ox,,,,,,,0
Gazelle ,Antelope,,,,,,,
Gerbil ,Mouse,,,,,,,0
Giraffe ,,29,7,2,3,2,3,10
Glutton,Otter,,,,,,,0
Gnu ,Cow,,,,,,,0
Goat ,,30,2,3,3,2,2,10
Goose ,Bird,,,,,,,0
Gopher,Groundhog,,,,,,,0
Gorilla ,,31,3,4,4,2,5,15
Groundhog,,32,2,2,2,3,2,9
Grouse ,Chicken,,,,,,,0
Guanaco ,Llama,,,,,,,0
Gull ,Bird,,,,,,,0
Hamster ,Mouse,,,,,,,0
Hare ,Rabbit,,,,,,,0
Hawk ,Eagle,,,,,,,0
Hedgehog ,,33,2,5,2,3,3,13
Heron ,Bird,,,,,,,0
Hippo,,34,3,3,5,2,2,12
Hippopotamus,Hippo,,,,,,,0
Horse,,35,7,3,4,4,4,15
Human ,,36,2,1,1,1,1,4
Hummingbird ,Bird,,,,,,,0
Hyena ,,37,5,4,3,3,3,13
Iguana ,Lizard,,,,,,,0
Jackal ,Fox,,,,,,,0
Jaguar ,Leopard,,,,,,,0
Jay,Bird,,,,,,,0
Kangaroo ,,38,3,2,3,3,3,11
Kiwi,Bird,,,,,,,0
Koala ,,39,2,1,2,1,1,5
Komodo,Lizard,,,,,,,0
Kouprey ,Ox,,,,,,,0
Kudu ,Antelope,,,,,,,0
Lark ,Bird,,,,,,,0
Lemur ,Raccoon,,,,,,,0
Leopard,,73,5,5,5,5,3,18
Lion ,,40,5,5,5,3,3,16
Lion ,Cat,,,,,,,
Lizard,,41,1,1,1,3,2,7
Llama ,,42,7,2,4,2,1,9
Lobster ,Crab,,,,,,,0
Loris ,Lemur,,,,,,,0
Lyrebird ,Bird,,,,,,,0
Magpie ,Bird,,,,,,,0
Mallard ,Duck,,,,,,,0
Manatee ,,43,4,2,4,2,4,12
Mandrill,Ape,,,,,,,0
Meerkat ,Groundhog,,,,,,,0
Mink ,Otter,,,,,,,0
Mole ,,44,2,2,3,4,2,11
Monkey ,Ape,,,,,,,0
Moose ,Caribou,,,,,,,0
Mouse ,,46,2,1,1,3,3,8
Mule ,Horse,,,,,,,0
